State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
MO,Kansas City,AMC Barry Woods 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.10 m,17.70 m,Yes
MO,St. Louis,"OMNIMAX, St. Louis Science Center",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,24.10 m,Limited
NC,Charlotte,Charlotte IMAX Dome Theatre at Discovery Place,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,24.10 m,Yes
NC,Charlotte,Regal Stonecrest At Piper Glen & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
NC,Concord,AMC Concord Mills 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.20 m,14.70 m,Yes
NC,Durham,AMC Southpoint 17 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.50 m,19.10 m,Yes
NC,Fayetteville,AMC Fayetteville 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.90 m,20.10 m,Yes
NC,Greenville,Greenville Grande & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
NC,High Point,Regal Palladium & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.10 m,15.20 m,Yes
NJ,Cherry Hill,AMC Cherry Hill 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.50 m,16.50 m,Yes
NJ,Clifton,AMC Clifton Commons 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,7.30 m,13.70 m,Yes
NJ,New Brunswick,AMC New Brunswick 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.70 m,17.80 m,Yes
NJ,Paramus,AMC Garden State 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.40 m,19.40 m,Yes
NJ,Rockaway,AMC Rockaway 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.20 m,16.50 m,Yes
NV,Henderson,Regal Sunset Station & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
NV,Las Vegas,AMC Town Square 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.30 m,20.10 m,Yes
NV,Las Vegas,Regal Red Rock & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
NV,North Las Vegas,Regal Aliante & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.10 m,15.50 m,Yes
NY,Albany,Regal Crossgates & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.2 m,15.5 m,Yes
NY,Deer Park,Regal Deer Park & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,15.20 m,Yes
NY,Fresh Meadows,AMC Fresh Meadows 7 & IMAX,Unk,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
NY,New Rochelle,Regal New Roc & IMAX,1.43:1,IMAX CoLa,1.90:1,No,18.10 m,24.80 m,Yes
NY,New York,AMC 34th Street 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.20 m,16.50 m,Yes
NY,New York,AMC Empire 25 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.50 m,17.70 m,Yes
